dataset,gini,entropy
7z,5.24,5.24
A2C_Acrobot,27.41,27.41
A2C_CartPole,48.19,48.19
Apache_AllMeasurements,1.12,1.75
BDBC,1.24,1.45
BankChurners,30.57,30.57
Car_price_cleaned,27.06,27.06
Data_COVID19_Indonesia,18.33,18.33
FFM-1000-200-0.50-SAT-1,34.89,36.06
FFM-125-25-0.50-SAT-1,36.31,33.42
FFM-250-50-0.50-SAT-1,35.56,36.5
FFM-500-100-0.50-SAT-1,36.78,42.67
FM-500-100-0.25-SAT-1,34.65,34.02
FM-500-100-0.50-SAT-1,40.37,36.64
FM-500-100-0.75-SAT-1,34.94,35.44
FM-500-100-1.00-SAT-1,34.01,36.64
HSMGP_num,2.44,2.44
HSQLDB,0.84,0.81
Health-ClosedIssues0000,12.83,12.83
Health-ClosedIssues0001,59.3,59.3
Health-ClosedIssues0002,21.7,21.7
Health-ClosedIssues0003,42.24,42.24
Health-ClosedIssues0004,61.32,61.32
Health-ClosedIssues0005,35.79,35.79
Health-ClosedIssues0006,21.93,21.93
Health-ClosedIssues0007,93.27,93.27
Health-ClosedIssues0008,28.58,28.58
Health-ClosedIssues0009,69.28,69.28
Health-ClosedIssues0010,72.21,72.21
Health-ClosedIssues0011,0.0,33.68
Health-ClosedPRs0000,0.0,0.0
Health-ClosedPRs0002,0.0,0.0
Health-ClosedPRs0003,1.26,1.26
Health-ClosedPRs0004,45.46,45.46
Health-ClosedPRs0005,31.75,31.75
Health-ClosedPRs0006,63.25,63.25
Health-ClosedPRs0007,41.83,54.0
Health-ClosedPRs0008,63.55,63.55
Health-ClosedPRs0009,56.85,56.85
Health-ClosedPRs0010,63.42,63.42
Health-ClosedPRs0011,0.0,0.0
Health-Commits0000,23.79,23.79
Health-Commits0001,3.3,3.3
Health-Commits0002,51.68,51.68
Health-Commits0003,52.59,52.59
Health-Commits0004,58.62,58.62
Health-Commits0005,40.46,40.46
Health-Commits0006,48.03,48.03
Health-Commits0007,50.2,50.2
Health-Commits0008,54.04,54.04
Health-Commits0009,35.83,35.83
Health-Commits0010,42.76,42.76
Health-Commits0011,28.17,28.17
LLVM,10.67,9.72
Life_Expectancy_Data,17.21,17.21
Loan,35.31,35.31
Marketing_Analytics,41.05,41.05
Medical_Data_and_Hospital_Readmissions,0.0,0.0
PostgreSQL,6.34,6.18
SQL_AllMeasurements,37.57,46.88
SS-A,7.4,7.4
SS-B,0.0,0.0
SS-C,17.76,17.76
SS-D,32.95,32.95
SS-E,24.21,24.21
SS-F,23.41,23.41
SS-G,20.63,20.63
SS-H,0.32,0.32
SS-I,19.37,19.37
SS-J,5.63,5.63
SS-K,32.33,32.33
SS-L,1.82,1.82
SS-M,2.41,1.16
SS-N,51.76,51.76
SS-O,34.1,36.51
SS-P,39.62,30.78
SS-Q,16.83,16.83
SS-R,26.81,24.89
SS-S,5.22,5.22
SS-T,9.52,8.82
SS-U,16.38,15.84
SS-V,22.36,24.81
SS-W,50.1,56.09
SS-X,42.24,48.84
Scrum100k,50.37,49.79
Scrum10k,37.17,29.81
Scrum1k,25.5,32.23
WA_Fn-UseC_-HR-Employee-Attrition,23.33,23.33
WA_Fn-UseC_-Telco-Customer-Churn,3.18,4.63
Wine_quality,34.16,34.16
X264_AllMeasurements,7.35,6.79
accessories,86.63,88.15
all_players,25.94,25.94
auto93,17.2,17.2
billing10k,36.42,42.04
coc1000,48.74,48.74
dataset120,37.69,37.69
dataset600,14.76,14.76
dconvert,19.03,18.53
deeparch,8.29,19.76
dress-up,70.73,70.73
exastencils,18.9,18.9
home_data_for_ml_course,35.65,35.65
javagc,6.21,5.77
nasa93dem,33.7,44.77
player_statistics_cleaned_final,12.4,12.4
pom3a,33.29,33.29
pom3b,34.13,34.13
pom3c,47.37,47.37
pom3d,27.1,27.1
redis,56.88,56.88
rs-6d-c3_obj1,0.84,0.84
rs-6d-c3_obj2,0.84,0.84
socks,10.84,10.84
sol-6d-c2-obj1,4.85,4.85
storm,1.0,1.0
student_dropout,0.0,0.0
wallpaper,66.49,66.49
wc+rs-3d-c4-obj1,2.28,2.28
wc+sol-3d-c4-obj1,1.75,1.75
wc+wc-3d-c4-obj1,4.99,4.99
wc-6d-c1-obj1,1.52,1.52
x264,40.67,40.67
xomo_flight,15.51,15.51
xomo_ground,27.03,27.03
xomo_osp,12.79,12.79
xomo_osp2,30.86,30.86
