dataset,ezr,causal
7z,76,24
A2C_Acrobot,52,48
A2C_CartPole,52,48
Apache_AllMeasurements,7,89
BDBC,61,39
BankChurners,74,26
Car_price_cleaned,67,33
Data_COVID19_Indonesia,98,2
FFM-1000-200-0.50-SAT-1,66,34
FFM-125-25-0.50-SAT-1,46,54
FFM-250-50-0.50-SAT-1,52,48
FFM-500-100-0.50-SAT-1,71,29
FM-500-100-0.25-SAT-1,57,43
FM-500-100-0.50-SAT-1,75,25
FM-500-100-0.75-SAT-1,78,22
FM-500-100-1.00-SAT-1,54,46
HSMGP_num,18,82
HSQLDB,8,92
Health-ClosedIssues0000,80,20
Health-ClosedIssues0001,0,100
Health-ClosedIssues0002,19,81
Health-ClosedIssues0003,49,51
Health-ClosedIssues0004,35,65
Health-ClosedIssues0005,0,100
Health-ClosedIssues0006,40,60
Health-ClosedIssues0007,36,64
Health-ClosedIssues0008,42,58
Health-ClosedIssues0009,52,48
Health-ClosedIssues0010,33,67
Health-ClosedIssues0011,3,97
Health-ClosedPRs0000,100,8
Health-ClosedPRs0002,17,83
Health-ClosedPRs0003,0,100
Health-ClosedPRs0004,17,83
Health-ClosedPRs0005,0,100
Health-ClosedPRs0006,58,42
Health-ClosedPRs0007,26,74
Health-ClosedPRs0008,16,84
Health-ClosedPRs0009,17,83
Health-ClosedPRs0010,48,52
Health-ClosedPRs0011,3,98
Health-Commits0000,93,7
Health-Commits0001,21,79
Health-Commits0002,0,100
Health-Commits0003,6,94
Health-Commits0004,55,45
Health-Commits0005,33,67
Health-Commits0006,0,100
Health-Commits0007,42,58
Health-Commits0008,33,67
Health-Commits0009,8,92
Health-Commits0010,1,99
Health-Commits0011,4,96
LLVM,87,13
Life_Expectancy_Data,72,28
Loan,47,53
Marketing_Analytics,23,77
Medical_Data_and_Hospital_Readmissions,51,49
PostgreSQL,42,58
SQL_AllMeasurements,89,11
SS-A,35,65
SS-B,88,12
SS-C,86,14
SS-D,57,41
SS-E,89,11
SS-F,46,52
SS-G,43,55
SS-H,86,14
SS-I,38,62
SS-J,80,20
SS-K,60,40
SS-L,55,45
SS-M,64,36
SS-N,82,18
SS-O,56,44
SS-P,9,91
SS-Q,0,100
SS-R,30,70
SS-S,27,73
SS-T,53,47
SS-U,40,60
SS-V,1,99
SS-W,80,20
SS-X,55,45
Scrum100k,86,14
Scrum10k,75,25
Scrum1k,51,49
WA_Fn-UseC_-HR-Employee-Attrition,66,34
WA_Fn-UseC_-Telco-Customer-Churn,24,76
Wine_quality,34,66
X264_AllMeasurements,6,94
accessories,55,45
all_players,66,34
auto93,26,74
billing10k,62,38
coc1000,28,72
dataset120,37,63
dataset600,45,55
dconvert,29,71
deeparch,36,64
dress-up,64,36
exastencils,77,23
home_data_for_ml_course,53,47
javagc,60,40
nasa93dem,32,15
player_statistics_cleaned_final,36,5
pom3a,46,54
pom3b,34,66
pom3c,23,77
pom3d,14,86
redis,16,84
rs-6d-c3_obj1,76,24
rs-6d-c3_obj2,72,28
socks,69,31
sol-6d-c2-obj1,70,30
storm,54,46
student_dropout,100,23
wallpaper,27,73
wc+rs-3d-c4-obj1,55,43
wc+sol-3d-c4-obj1,73,25
wc+wc-3d-c4-obj1,71,27
wc-6d-c1-obj1,74,26
x264,88,12
xomo_flight,51,49
xomo_ground,63,37
xomo_osp,37,63
xomo_osp2,30,70
