dataset,kmeans,cure,hdbscan,ezr
7z,1,1,1,1
A2C_Acrobot,1,1,1,1
A2C_CartPole,1,1,1,1
Apache_AllMeasurements,0,1,1,1
BDBC,1,1,1,1
BankChurners,1,1,1,1
Car_price_cleaned,1,1,1,1
Data_COVID19_Indonesia,0,1,1,0
FFM-1000-200-0,0,1,1,1
FFM-125-25-0,0,0,0,1
FFM-250-50-0,0,1,1,1
FFM-500-100-0,1,1,1,1
FM-500-100-0,1,1,1,1
FM-500-100-1,0,1,0,0
HSMGP_num,0,1,1,1
HSQLDB,1,1,1,1
Health-ClosedIssues0000,0,1,1,1
Health-ClosedIssues0001,1,1,1,1
Health-ClosedIssues0002,1,1,1,1
Health-ClosedIssues0003,0,1,1,0
Health-ClosedIssues0004,1,1,1,1
Health-ClosedIssues0005,1,1,1,1
Health-ClosedIssues0006,1,1,1,1
Health-ClosedIssues0007,1,1,1,1
Health-ClosedIssues0008,0,0,0,1
Health-ClosedIssues0009,0,1,1,0
Health-ClosedIssues0010,1,1,1,1
Health-ClosedIssues0011,1,1,1,1
Health-ClosedPRs0000,1,1,1,1
Health-ClosedPRs0002,1,1,1,1
Health-ClosedPRs0003,1,1,1,1
Health-ClosedPRs0004,1,1,1,1
Health-ClosedPRs0005,1,1,1,1
Health-ClosedPRs0006,1,1,1,1
Health-ClosedPRs0007,1,1,1,1
Health-ClosedPRs0008,1,1,1,1
Health-ClosedPRs0009,1,1,1,1
Health-ClosedPRs0010,1,1,1,1
Health-ClosedPRs0011,1,1,1,1
Health-Commits0000,0,1,1,1
Health-Commits0001,1,1,1,1
Health-Commits0002,1,1,1,1
Health-Commits0003,1,1,1,1
Health-Commits0004,1,1,1,1
Health-Commits0005,1,1,1,1
Health-Commits0006,1,1,1,1
Health-Commits0007,0,1,1,0
Health-Commits0008,0,1,1,0
Health-Commits0009,1,1,1,1
Health-Commits0010,0,1,1,0
Health-Commits0011,1,1,1,1
LLVM,0,1,1,1
Life_Expectancy_Data,0,1,1,1
Loan,0,0,0,1
Marketing_Analytics,1,1,1,1
Medical_Data_and_Hospital_Readmissions,1,1,1,1
PostgreSQL,1,1,1,1
SQL_AllMeasurements,1,1,1,1
SS-A,0,1,1,1
SS-B,1,1,1,1
SS-C,1,1,1,1
SS-D,0,1,1,0
SS-E,0,1,1,1
SS-F,1,1,1,1
SS-G,1,1,1,1
SS-H,0,0,0,1
SS-I,0,1,1,1
SS-J,1,1,1,1
SS-K,0,1,1,0
SS-L,0,0,0,1
SS-M,1,1,1,1
SS-N,1,1,1,1
SS-O,1,1,1,1
SS-P,0,1,1,1
SS-Q,0,0,0,1
SS-R,1,1,1,1
SS-S,1,1,1,1
SS-T,0,1,1,0
SS-U,1,1,1,1
SS-V,1,1,1,1
SS-W,1,1,1,1
SS-X,0,1,1,1
Scrum100k,1,1,1,1
Scrum10k,1,1,1,1
Scrum1k,1,1,1,1
WA_Fn-UseC_-HR-Employee-Attrition,1,1,1,1
WA_Fn-UseC_-Telco-Customer-Churn,1,1,1,1
Wine_quality,1,1,1,1
X264_AllMeasurements,0,1,1,1
accessories,1,1,1,1
all_players,0,1,1,0
auto93,1,1,1,1
billing10k,0,1,1,1
coc1000,1,1,1,1
dataset120,1,1,1,1
dataset600,1,1,1,1
dconvert,1,1,1,1
deeparch,0,1,1,1
dress-up,1,1,1,1
exastencils,1,1,1,1
home_data_for_ml_course,1,1,1,0
javagc,1,1,1,1
nasa93dem,1,1,1,1
player_statistics_cleaned_final,1,1,1,1
pom3a,0,1,1,1
pom3b,1,1,1,1
pom3c,1,1,1,1
pom3d,1,1,1,1
redis,1,1,1,1
rs-6d-c3_obj1,0,1,1,1
rs-6d-c3_obj2,1,1,1,1
socks,1,1,1,1
sol-6d-c2-obj1,1,1,1,1
storm,1,1,1,1
student_dropout,1,1,1,1
wallpaper,0,0,0,1
wc+rs-3d-c4-obj1,0,0,0,1
wc+sol-3d-c4-obj1,0,0,0,1
wc+wc-3d-c4-obj1,0,0,0,1
wc-6d-c1-obj1,1,1,1,1
x264,1,1,1,1
xomo_flight,0,0,0,1
xomo_ground,0,1,1,1
xomo_osp,0,0,0,1
xomo_osp2,1,1,1,1
