dataset,rows,objectives,features,numerics,categorical
7z,68640,1,14,3,11
A2C_Acrobot,223,3,10,10,0
A2C_CartPole,317,4,7,7,0
Apache_AllMeasurements,192,1,9,0,9
BDBC,2560,1,16,0,16
BankChurners,10127,4,19,13,6
Car_price_cleaned,205,5,38,37,1
Data_COVID19_Indonesia,21759,3,35,23,12
FFM-1000-200-0.50-SAT-1,10000,3,1044,3,1041
FFM-125-25-0.50-SAT-1,10000,3,128,4,124
FFM-250-50-0.50-SAT-1,10000,3,256,5,251
FFM-500-100-0.50-SAT-1,10000,3,510,2,508
FM-500-100-0.25-SAT-1,10000,3,517,7,510
FM-500-100-0.50-SAT-1,10000,3,513,7,506
FM-500-100-0.75-SAT-1,10000,3,511,7,504
FM-500-100-1.00-SAT-1,10000,3,511,3,508
HSMGP_num,3456,1,14,3,11
HSQLDB,864,1,18,0,18
Health-ClosedIssues0000,10000,3,5,4,1
Health-ClosedIssues0001,10000,3,5,4,1
Health-ClosedIssues0002,10000,3,5,4,1
Health-ClosedIssues0003,10000,3,5,4,1
Health-ClosedIssues0004,10000,3,5,4,1
Health-ClosedIssues0005,10000,3,5,4,1
Health-ClosedIssues0006,10000,3,5,4,1
Health-ClosedIssues0007,10000,3,5,4,1
Health-ClosedIssues0008,10000,3,5,4,1
Health-ClosedIssues0009,10000,3,5,4,1
Health-ClosedIssues0010,10000,3,5,4,1
Health-ClosedIssues0011,10000,3,5,4,1
Health-ClosedPRs0000,10000,2,5,4,1
Health-ClosedPRs0002,10000,3,5,4,1
Health-ClosedPRs0003,10000,3,5,4,1
Health-ClosedPRs0004,10000,3,5,4,1
Health-ClosedPRs0005,10000,3,5,4,1
Health-ClosedPRs0006,10000,3,5,4,1
Health-ClosedPRs0007,10000,3,5,4,1
Health-ClosedPRs0008,10000,3,5,4,1
Health-ClosedPRs0009,10000,3,5,4,1
Health-ClosedPRs0010,10000,3,5,4,1
Health-ClosedPRs0011,10000,3,5,4,1
Health-Commits0000,10000,3,5,4,1
Health-Commits0001,10000,3,5,4,1
Health-Commits0002,10000,3,5,4,1
Health-Commits0003,10000,3,5,4,1
Health-Commits0004,10000,3,5,4,1
Health-Commits0005,10000,3,5,4,1
Health-Commits0006,10000,3,5,4,1
Health-Commits0007,10000,3,5,4,1
Health-Commits0008,10000,3,5,4,1
Health-Commits0009,10000,3,5,4,1
Health-Commits0010,10000,3,5,4,1
Health-Commits0011,10000,3,5,4,1
LLVM,1024,1,10,0,10
Life_Expectancy_Data,2938,2,20,13,7
Loan,20000,5,31,25,6
Marketing_Analytics,2205,8,31,31,0
Medical_Data_and_Hospital_Readmissions,25000,1,64,8,56
PostgreSQL,19008,1,9,3,6
SQL_AllMeasurements,4653,1,38,0,38
SS-A,1343,2,3,3,0
SS-B,206,2,3,3,0
SS-C,1512,2,3,3,0
SS-D,196,2,3,3,0
SS-E,756,2,3,3,0
SS-F,196,2,3,3,0
SS-G,196,2,3,3,0
SS-H,259,2,4,4,0
SS-I,1080,2,5,5,0
SS-J,3840,2,6,6,0
SS-K,2880,2,6,6,0
SS-L,1023,2,11,11,0
SS-M,864,3,17,0,17
SS-N,53662,2,17,17,0
SS-O,972,2,11,3,8
SS-P,1023,2,11,0,11
SS-Q,2736,3,13,4,9
SS-R,3008,2,14,3,11
SS-S,3840,2,6,6,0
SS-T,5184,2,12,3,9
SS-U,4608,2,21,0,21
SS-V,6840,2,16,1,15
SS-W,65536,2,16,0,16
SS-X,86058,2,11,0,11
Scrum100k,100000,3,124,0,124
Scrum10k,10000,3,124,0,124
Scrum1k,1000,3,124,0,124
WA_Fn-UseC_-HR-Employee-Attrition,1470,3,32,23,9
WA_Fn-UseC_-Telco-Customer-Churn,7043,2,19,1,18
Wine_quality,1599,2,10,10,0
X264_AllMeasurements,1152,1,16,0,16
accessories,1121,2,14,1,13
all_players,17737,2,55,52,3
auto93,398,3,4,3,1
billing10k,10000,3,88,0,88
coc1000,1000,5,20,20,0
dataset120,5160,1,9,9,0
dataset600,5160,1,9,9,0
dconvert,6764,1,18,0,18
deeparch,4096,1,12,0,12
dress-up,913,2,20,0,20
exastencils,86058,1,12,3,9
home_data_for_ml_course,1460,4,77,31,46
javagc,166975,1,35,23,12
nasa93dem,93,3,22,0,22
player_statistics_cleaned_final,81,1,26,26,0
pom3a,20000,3,9,9,0
pom3b,20000,3,9,9,0
pom3c,20000,3,9,9,0
pom3d,500,3,9,9,0
redis,4400,1,9,8,1
rs-6d-c3_obj1,3840,1,6,6,0
rs-6d-c3_obj2,3840,1,6,6,0
socks,350,1,20,20,0
sol-6d-c2-obj1,2866,1,6,6,0
storm,1557,1,12,9,3
student_dropout,649,1,33,16,17
wallpaper,247,2,22,2,20
wc+rs-3d-c4-obj1,196,1,3,3,0
wc+sol-3d-c4-obj1,196,1,3,3,0
wc+wc-3d-c4-obj1,196,1,3,3,0
wc-6d-c1-obj1,2880,1,6,6,0
x264,53662,1,17,13,4
xomo_flight,10000,4,24,24,0
xomo_ground,10000,4,24,24,0
xomo_osp,10000,4,24,24,0
xomo_osp2,10000,4,24,24,0
